title,authors,journal,year,pdf_url,pdf_week_code,page_number,entry_index_in_pdf,ingested_at
® Adverse childhood experience-related conditions and substance use in adolescents: a secondary analysis of cross-sectional survey data,"Jayawardene W, Lohrmann D, Agley J, Jun M, Gassman R",J. Sch. Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,18,18,2025-09-18T00:41:44.798543
® Childhood bullying as a predictor of suicidality in young adults in a nationwide population- based health examination study,"Palmu R, Partonen T",Arch. Suicide Res.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,19,19,2025-09-18T00:41:44.798543
® Development of a family-based treatment for co-occurring intimate partner violence and child maltreatment: the MST-IPV model,"Swenson CC, Schaeffer CM",BJPsych Bull,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,20,20,2025-09-18T00:41:44.798543
® Emotional and behavioral problem profiles of preteens with self-injurious thoughts and behaviors: a multicultural study,"Ayer L, Ohana E, Ivanova MY, Frering HE, Achenbach TM, Althoff RR",J. Am. Acad. Child Adolesc. Psychiatry,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,21,21,2025-09-18T00:41:44.798543
"® First report card on physical activity for children and adolescents in Slovakia: a comprehensive analysis, international comparison, and identification of surveillance gaps - Bakalár P, Hnidková L, Ružbarská B, Ružbarský P, Slancova TK, Kopcakova J, Kosticova M, Gába A. Arch. Public Health 2024; 82(1): e16. Gender differences in the association between childhood maltreatment and the onset of major depressive disorder","Dong C, Wang Z, Jia F, Tian H, Zhang Y, Liu H, Yu X, Wang L, Fu Y",J. Affect. Disord.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,22,22,2025-09-18T00:41:44.798543
"® Interprofessional education in child protection for preservice health and allied health professionals: a scoping review - Lines LE, Kakyo TA, McLaren H, Cooper M, Sivertsen N, Hutton A, Zannettino L, Starrs R, Hartz D, Brown S, Grant J. Trauma Violence Abuse 2024; ePub(ePub): ePub. Longitudinal effects of dog ownership, dog acquisition, and dog loss on children's movement behaviours: findings from the PLAYCE cohort study","Adams EK, Murray K, Trost SG, Christian H",Int. J. Behav. Nutr. Phys. Act.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,23,23,2025-09-18T00:41:44.798543
® Patterns of adverse childhood experiences and problematic health outcomes among US young adults: a latent class analysis,"Romm KF, Berg CJ",Subst. Use Addctn. J.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,24,24,2025-09-18T00:41:44.798543
"® QuickStats: percentage* of children and adolescents aged ≤17 years who visited an urgent care center or a clinic in a drug store or grocery store in the past 12 months,(†) by age group and year - National Health Interview Survey,(§) United States, 2021-2022","Briones EM, Adjaye-Gbewonyo D",MMWR Morb. Mortal. Wkly. Rep.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,25,25,2025-09-18T00:41:44.798543
® A qualitative analysis of perspectives on self-directed violence in a prospective longitudinal study of young women with and without childhood ADHD,"Ahmad SI, Hinshaw SP",J. Atten. Disord.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,27,27,2025-09-18T00:41:44.798543
® Childhood cognitive ability and self-harm and suicide in later life,"Iveson MH, Ball EL, Whalley HC, Deary IJ, Cox SR, Batty GD, John A, McIntosh AM",SSM Popul. Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,28,28,2025-09-18T00:41:44.798543
® Experiential avoidance as a mediator of risk factors for higher order internalizing psychopathology in the perinatal period,"Miller ML, Jiang LJ, O'Hara MW",J. Clin. Psychol. (Hoboken),2024,https://www.safetylit.org/week/2024/240204.pdf,240204,29,29,2025-09-18T00:41:44.798543
"® Impact of mobile phone usage on dynamic postural control among South Indian college students - Dhanusia S, Santhana Lakshmi S, Kumar A, Prabhu R, Srinivasan V, Suganthirababu P, Kumar P, Kumaresan A, Vishnuram S, Alagesan J, Vasanthi RK. Work 2024; ePub(ePub): ePub. Impact of paternal psychiatric disorders on parents-baby separation after mother-baby unit care - Gressier F, Glangeaud-Freudenthal NMC, Essadek A, Falissard B, Corruble E, Sutter-Dallay AL. Child Abuse Negl. 2024; 149: e106652. Impact of pregnancy on self-efficacy and personal competence in the context of risk of depression, mental health status, and satisfaction with life - Kułak-Bejda A, Avci Aydin I, Çelik Eren D, Kourkouta L, Tsaloglidou A, Koukourikos K, Szpakow A, Khvoryk N, Hutsikava L, Waszkiewicz N. J. Clin. Med. 2024; 13(2): e533. Impaired emotional awareness is associated with childhood maltreatment exposure and positive symptoms in schizophrenia","Beals K, Torregrossa LJ, Smith R, Lane RD, Sheffield JM",Front. Psychiatry,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,30,30,2025-09-18T00:41:44.799544
"® Perceptions and beliefs on sports injury prediction as an injury risk reduction strategy: an online survey on elite athletics (track and field) athletes, coaches, and health professionals","Dandrieux PE, Navarro L, Chapon J, Tondut J, Zyskowski M, Hollander K, Edouard P",Phys. Ther. Sport,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,31,31,2025-09-18T00:41:44.799544
® The continuation of non-physical abuse from childhood to adulthood in eating disorder patients: an interpretative phenomenological analysis,"Theodoropoulou O, Holyoak L, Caswell N, Gardner KJ",Child Abuse Negl.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,32,32,2025-09-18T00:41:44.799544
"® Acute myocardial infarction among teenagers in the United States between 2016 and 2020: a retrospective analysis from the National Inpatient Sample - Ramphul K, Aggarwal S, Verma R, Lohana P, Sombans S, Ramphul Y, Mejias SG, Kumar D, Kwansa NA, Pekyi- Boateng PK. Arch. Med. Sci. Atheroscler. Dis. 2023; 8: e177-e181. Adolescent alcohol and cannabis use and early adulthood educational attainment in the 1986 Northern Finland birth cohort study","Levola J, Alakokkare AE, Denissoff A, Mustonen A, Miettunen J, Niemela S",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,33,33,2025-09-18T00:41:44.799544
"® Cannabis use disorder contributes to cognitive dysfunction in Veterans with traumatic brain injury - Esmaeili A, Dismuke-Greer C, Pogoda TK, Amuan ME, Garcia C, Del Negro A, Myers M, Kennedy E, Cifu D, Pugh MJ. Front. Neurol. 2024; 15: e1261249. Characterizing opioid withdrawal experiences and consequences among a community sample of people who use opioids - Simpson KA, Bolshakova M, Kirkpatrick MG, Davis JP, Cho J, Barrington-Trimis J, Kral AH, Bluthenthal RN. Subst. Use Misuse 2024; ePub(ePub): ePub. Comparing the performance of World Mental Health Composite International Diagnostic Interview Substance Abuse Modulein adolescents to diagnoses made by pediatric addiction medicine specialists","Levy S, Minegishi M, Brogna M, Subramaniam G, McCormack J, Weiss R, Weitzman ER",J. Addict. Med.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,34,34,2025-09-18T00:41:44.799544
® Driving under the influence of alcohol among road traffic accident patients presenting to a tertiary care centre,"Joshi P, Karmacharya M, Duwal Shrestha SK",JNMA J. Nepal Med. Assoc.,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,35,35,2025-09-18T00:41:44.799544
® How do drunk-driving events escalate into drunk-driving crashes? An empirical analysis of Beijing from a spatiotemporal perspective,"Sun Z, Cui K, Qi X, Wang J, Han L, Gu X, Lu H",Int. J. Inj. Control Safe. Promot.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,36,36,2025-09-18T00:41:44.799544
"® Prevalence and blood concentrations of benzodiazepines and opioids in opioid-positive death investigations in Ontario, Canada, from 2017 to 2021","Mocanu C, Woodall KL, Solbeck P",J. Forensic Sci.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,37,37,2025-09-18T00:41:44.799544
® The modern history of alcohol research: introducing the Rutgers Digital Alcohol Studies Archives,"Ward JH, Babor TF, Allred N, Bejarano W",J. Stud. Alcohol Drugs,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,38,38,2025-09-18T00:41:44.799544
® A Bayesian model for predicting monthly fire frequency in Kenya,"Orero L, Omondi EO, Omolo BO",PLoS One,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,39,39,2025-09-18T00:41:44.799544
"® Physical and psychosocial outcomes among burn-injured people with heterotrophic ossification: a Burn Model System study - Won P, Pickering TA, Schneider JC, Kowalske K, Ryan CM, Carrougher GJ, Stewart BT, Yenikomshian HA. Burns 2024; ePub(ePub): ePub. Pre-hospital triage of children at risk of oesophageal button battery impaction: the button battery impaction score","Vaucel JA, Gil-Jardiné C, Paradis C, Enaud R, Labadie M",Clin. Toxicol. (Phila),2023,https://www.safetylit.org/week/2024/240204.pdf,240204,40,40,2025-09-18T00:41:44.799544
® How storytelling through the use of avatars could help Fukushima evacuees express themselves: digital archive for people in the diaspora,Sasaki K,Med. Conflict. Surviv.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,42,42,2025-09-18T00:41:44.799544
"® Distraction, Fatigue, Chronobiology, Vigilance, Workload An automatic driving trajectory planning approach in complex traffic scenarios based on integrated driver style inference and deep reinforcement learning","Liu Y, Diao S",PLoS One,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,43,43,2025-09-18T00:41:44.799544
"® Association of pre-hospital tracheal intubation with outcomes after out-of-hospital cardiac arrest by drowning comparing to supraglottic airway device: a nationwide propensity score- matched cohort study - Yoshimura S, Kiguchi T, Nishioka N, Ikeda N, Takegawa M, Miyamae N, Sumida Y, Kitamura T, Iwami T. Resuscitation 2024; e110129. Case report: tracheobronchial diverticulum, a potential risk for diving?","Qing L, Wang Y, Zhang M, Pu Q, Cai W, Pan Y, Xia D",Front. Med. (Lausanne),2023,https://www.safetylit.org/week/2024/240204.pdf,240204,45,45,2025-09-18T00:41:44.800543
"® An electronic teen questionnaire, the eTeenQ, for risk behavior screening during adolescent well visits in an integrated health system: development and pilot implementation","Neale S, Chrenka E, Muthineni A, Sharma R, Hall ML, Tillema J, Kharbanda EO",JMIR Pediatr. Parent.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,47,47,2025-09-18T00:41:44.800543
"® Associations of past-year overall trauma, sexual assault and PTSD with social support for young adult sexual minority women","van Stolk-Cooke K, Price M, Dyar C, Zimmerman L, Kaysen D",Eur. J. Psychotraumatol.,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,48,48,2025-09-18T00:41:44.800543
"® Chemical restraints for obstetric violence: anesthesiology professionals, moral courage, and the prevention of forced and coerced surgeries","Burgart A, Sutton C",Am. J. Bioeth.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,49,49,2025-09-18T00:41:44.800543
"® Description of the public safety medical response and patient encounters within and during the Indianapolis (USA) spring 2020 civil unrest - Arkins TP, Liao M, O'Donnell D, Glober N, Faris G, Weinstein E, Supples MW, Vaizer J, Hunter BR, Lardaro T. Prehosp. Disaster Med. 2024; ePub(ePub): ePub. Development and validation of the Korean version of the Multidimensional Non-Suicidal Self- Injury Scar Scale","Myung J, Kwon YS, Hyun MH, Lee SJ",Psychiatry Investig.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,50,50,2025-09-18T00:41:44.800543
® Editorial: Chronicity of maltreatment and the importance of attachment and peer relationships on youth mental health trajectory,"Zik J, Berkowitz S",J. Am. Acad. Child Adolesc. Psychiatry,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,51,51,2025-09-18T00:41:44.800543
® Expanding capabilities to evaluate readiness for return to duty after mTBI: the CAMP study protocol,"Cecchini AS, McCulloch K, Harrison C, Favorov O, Davila M, Zhang W, Prim J, Krok CDRM",PLoS One,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,52,52,2025-09-18T00:41:44.800543
® Genital lichen sclerosus misdiagnosis: forensic insights,"Abder-Rahman H, Habash I, Hussein A, Al-Shaeb A, Elqasass A, Qaqish LN",Forensic Sci. Med. Pathol.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,53,53,2025-09-18T00:41:44.800543
"® Interprofessional education in child protection for preservice health and allied health professionals: a scoping review - Lines LE, Kakyo TA, McLaren H, Cooper M, Sivertsen N, Hutton A, Zannettino L, Starrs R, Hartz D, Brown S, Grant J. Trauma Violence Abuse 2024; ePub(ePub): ePub. Interval return to play for a wrist fracture in a hockey player: a case report","Boot B, Szabo K",JCCA J. Can. Chiropr. Assoc.,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,54,54,2025-09-18T00:41:44.800543
® Negative posttraumatic cognitions about self potentially mediate the relation between sexual revictimization and suicide risk in a sample of military sexual assault survivors,"Xu B, Blais RK, Tannahill H",Psychol. Trauma,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,55,55,2025-09-18T00:41:44.800543
® Poisoning among autopsies conducted in the department of forensic medicine and toxicology in a tertiary care centre,"Khan AS, Pandey A, Pandey A",JNMA J. Nepal Med. Assoc.,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,56,56,2025-09-18T00:41:44.800543
® Racial and ethnic differences in the association between mild traumatic brain injury and work duty limitations in the US military,"Richard P, Gedeon D, Gibson N",Brain Inj.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,57,57,2025-09-18T00:41:44.800543
"® Sex differences in the association of childhood sexual abuse severity with premarital sex among Chinese college students in Luzhou, China","Rong Z, Jing H, Lin Y, Rongzhe C, Maoxu L, Xin L, Ping Z",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,58,58,2025-09-18T00:41:44.800543
® The challenges faced after a major trauma at an expedition ship at a remote area. Report of one Case,"Martínez-Méndez D, Bravo-Acosta M",Rev. Med. Chile,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,59,59,2025-09-18T00:41:44.800543
® The promise of compassion-based therapy as a novel intervention for adolescent PTSD,"Brinckman B, Alfaro E, Wooten W, Herringa R",J. Affect. Disord. Rep.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,60,60,2025-09-18T00:41:44.800543
® Trends and characteristics of terrorist attacks against nightclub venues over 5 decades,"Rahman GR, Liang SY, Tian L, Sin SS, Jasani GN",Disaster Med. Public Health Prep.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,61,61,2025-09-18T00:41:44.800543
® An anti-occlusion optimization algorithm for multiple pedestrian tracking,"Zhang L, Ding G, Li G, Jiang Y, Li Z, Li D",PLoS One,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,63,63,2025-09-18T00:41:44.800543
® Crashworthiness analysis and uncertainty optimization of novel multi-wall tube,"Li D, Zhang X, Qin R, Chen B",Int. J. Crashworthiness,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,64,64,2025-09-18T00:41:44.800543
® GLFNet: combining global and local information in vehicle re-recognition,"Yang Y, Liu P, Huang J, Song H",Sensors (Basel),2024,https://www.safetylit.org/week/2024/240204.pdf,240204,65,65,2025-09-18T00:41:44.800543
® Resilient critical infrastructures: an innovative methodological perspective for critical infrastructure (CI) integrated assessment models by inducing digital technologies during multi-hazard incidents,"El-Maissi AM, Kassem MM, Mohamed Nazri F",MethodsX,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,66,66,2025-09-18T00:41:44.800543
"® Environmental Issues, Climate, Geophysics A European-scale analysis reveals the complex roles of anthropogenic and climatic factors in driving the initiation of large wildfires","Ochoa C, Bar-Massada A, Chuvieco E",Sci. Total Environ.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,67,67,2025-09-18T00:41:44.800543
"® Ergonomics, Human Factors, Anthropometrics, Physiology ""A button in my Benjamin"" - self-inflicted insertion of button batteries into the male urethra: management and complications","Yanada BA, Galiabovitch E, Manning T, Dias BH, Suthakaran R, Yao H",Urol Case Rep,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,68,68,2025-09-18T00:41:44.801544
® An EEG monitoring method based on compressed sensing for fatigue driving,Xin Z,Comput. Methods Biomech. Biomed. Eng.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,69,69,2025-09-18T00:41:44.801544
® Changes in frailty and depressive symptoms among middle-aged and older Chinese people: a nationwide cohort study,"Sang N, Liu RC, Zhang MH, Lu ZX, Wu ZG, Zhang MY, Li BH, Wei M, Pan HF, Wu GC",BMC Public Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,70,70,2025-09-18T00:41:44.801544
"® Differences in falls and physical activity in older women from two generations - Kwok WS, Khalatbari-Soltani S, Dolja-Gore X, Byles J, Oliveira JS, Pinheiro MB, Sherrington C. J. Gerontol. A Biol. Sci. Med. Sci. 2024; ePub(ePub): ePub. Discordance between reports of internalized symptoms in persons with Parkinson's disease and informants: results from an online survey - Kaplan RI, McDowell CP, Wall J, Kinger SB, Salazar RD, Neargarder S, Cronin-Golomb A. Mov. Disord. Clin. Pract. (Hoboken) 2024; ePub(ePub): ePub. Disparities in the impact of heat wave definitions on emergency department visits during the first year of life among preterm and full-term infants in California","Teyton A, Ndovu A, Baer RJ, Bandoli G, Benmarhnia T",Environ. Res.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,71,71,2025-09-18T00:41:44.801544
"® Examining the sleeping habits of preschool and elementary school children in Southern Slovakia - Tóthová Tarová E, Darvay S, Fehér Z, Nagy M, Szencziová I, Dancsa D, Himpán V, Winkler, Balázs P, Konečná M, Sedlák V, Zahatňanská M, Bernátová R, Poráčová J. Cent. Eur. J. Public Health 2023; 31(Suppl 1): S48-S54. Examining thermally induced movement of the fatal fire victim","Harding MJ, Márquez-Grant N, Williams M",Forensic Sci. Int.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,72,72,2025-09-18T00:41:44.801544
"® High magnitude exposure to repetitive head impacts alters female adolescent brain activity for lower extremity motor control - Zuleger TM, Slutsky-Ganesh AB, Grooms DR, Yuan W, Barber Foss KD, Howell DR, Myer GD, Diekfuss JA. Brain Res. 2024; ePub(ePub): ePub. Hired crop worker injury risks on farms in the United States during three different periods between 2002 and 2015","Layne LA, Siordia C",Am. J. Ind. Med.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,73,73,2025-09-18T00:41:44.801544
® Investigation of medical accidents for the development of alert system to reduce alert fatigue,"Shiroto Y, Torikai K, Noguchi R, Saito Y",Stud. Health Technol. Inform.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,74,74,2025-09-18T00:41:44.801544
"® Penile strangulation: analysis of postextrication follow-up, sequelae, and a review of literature","Campbell KJ, Kwenda EP, Bozorgmehri S, Terry RS, Yeung LL",Am. J. Men. Health,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,75,75,2025-09-18T00:41:44.801544
® Returning to sport after injury: the influence of injury appraisals and post-traumatic stress symptoms on adolescent risk-taking intentions post-injury,"Seasons M, Morrongiello BA",J. Pediatr. Psychol.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,76,76,2025-09-18T00:41:44.801544
"® The association between symptom burden and processing speed and executive functioning at 4 and 12 weeks following pediatric concussion - Sicard V, Ledoux AA, Tang K, Yeates KO, Brooks BL, Anderson P, Keightley M, Désiré N, Beauchamp MH, Zemek R. J. Int. Neuropsychol. Soc. 2024; ePub(ePub): ePub. The effect of wearable-based real-time feedback on running injuries and running performance: a randomized controlled trial","Van Hooren B, Plasqui G, Meijer K",Am. J. Sports Med.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,77,77,2025-09-18T00:41:44.801544
® Traumatic brain injury: a comprehensive review of biomechanics and molecular pathophysiology,"Orr TJ, Lesha E, Kramer AH, Cecia A, Dugan JE, Schwartz B, Einhaus SL",World Neurosurg.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,78,78,2025-09-18T00:41:44.801544
® Abnormal vestibular-evoked myogenic potentials as a risk factor for unpredicted falls in spinocerebellar ataxia: a preliminary study,"Choi SY, Choi KD, Choi JH, Kim JS",J. Neurol.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,79,79,2025-09-18T00:41:44.801544
"® Effect of hardware balance trainings on postural control, risk of falls and cognitive function on elderly people with chronic cerebral ischemia. (Randomized controlled trial) - Litvina LD, Konev SM, Koneva ES, Butko DU, Lyadov KV, Zhumanova EN, Gridin LA, Korchazhkina NB, Kotenko KV. Vopr. Kurortol. Fizioter. Lech. Fiz. Kult. 2023; 100(6): 31-39. Effect of the visual illusion on stepping-over action and its association with gaze behavior","Sakurai R, Kodama K, Ozawa Y, Kobayashi-Cuya KE",Percept. Mot. Skills,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,80,80,2025-09-18T00:41:44.802518
"® Validation of a method for detecting hospitalizations for falls related to adverse drug reactions in geriatric departments - Vaesken C, Boulouard VL, Fedrizzi S, Abidi H, Richard H, Muzard A, Descatoire P, Villain C, Meurant A. Geriatr. Psychol. Neuropsychiatr. Vieil. 2023; 21(4): 437-446. Home and Consumer Product Safety A narrative review of contemporary lethal pesticides: unveiling the ongoing threat of pesticide poisoning","Choi S, Kim GW, Lim H",Clin. Exp. Emerg. Med.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,82,82,2025-09-18T00:41:44.802518
® Decreased joint position sense of the ankle joint is a risk factor for falls in the elderly,"Kanemitsu M, Nakasa T, Ikuta Y, Adachi N",Cureus,2023,https://www.safetylit.org/week/2024/240204.pdf,240204,83,83,2025-09-18T00:41:44.802518
"® Longitudinal effects of dog ownership, dog acquisition, and dog loss on children's movement behaviours: findings from the PLAYCE cohort study","Adams EK, Murray K, Trost SG, Christian H",Int. J. Behav. Nutr. Phys. Act.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,84,84,2025-09-18T00:41:44.802518
"® Public health, firearms, and domestic violence in US v Rahimi",Tobin-Tyler E,JAMA Health Forum,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,85,85,2025-09-18T00:41:44.802518
"® Threat, distract, and discredit: cannabis industry rhetoric to defeat regulation of high THC cannabis products in Washington State, USA","Carlini BH, Kellum LB, Garrett SB, Nims LN",J. Stud. Alcohol Drugs,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,86,86,2025-09-18T00:41:44.802518
® American policing and the danger imperative,Sierra-Arevalo M,Law Soc. Rev.,2021,https://www.safetylit.org/week/2024/240204.pdf,240204,87,87,2025-09-18T00:41:44.802518
® Diagnostic options for suspected cases of emotional maltreatment - presentation of the interdisciplinary perspective of a child protection outpatient clinic,"Bentz L, Mantilla DO, Winter SM",Prax. Kinderpsychol. Kinderpsychiatr.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,88,88,2025-09-18T00:41:44.802518
® Exploring enzymatic hydrolysis of urine samples for investigation of drugs associated with drug-facilitated sexual assault,"Skov K, Johansen SS, Linnet K, Rasmussen BS, Nielsen MKK",Pharmaceuticals (Basel),2023,https://www.safetylit.org/week/2024/240204.pdf,240204,89,89,2025-09-18T00:41:44.802518
"® Impact of paternal psychiatric disorders on parents-baby separation after mother-baby unit care - Gressier F, Glangeaud-Freudenthal NMC, Essadek A, Falissard B, Corruble E, Sutter-Dallay AL. Child Abuse Negl. 2024; 149: e106652. In search of the origins of crime continuity: aggressive versus nonaggressive delinquency as a key factor in the psychological inertia process","Walters GD, Kremser J, Runell L",Aggressive Behav.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,90,90,2025-09-18T00:41:44.802518
® Predictors of veteran attendance in an intimate partner violence intervention,"Smethurst MA, Taft CT, Creech SK",J. Fam. Psychol.,2024,https://www.safetylit.org/week/2024/240204.pdf,240204,91,91,2025-09-18T00:41:44.802518
